user_id,recency,history_segment,history,mens,womens,zip_code,newbie,channel,promotion,outcome
1,10,2) $100 - $200,142.44,1,0,Surburban,0,Phone,Womens E-Mail,0
2,6,3) $200 - $350,329.08,1,1,Rural,1,Web,No E-Mail,0
3,7,2) $100 - $200,180.65,0,1,Surburban,1,Web,Womens E-Mail,0
4,9,5) $500 - $750,675.83,1,0,Rural,1,Web,Mens E-Mail,0
5,2,1) $0 - $100,45.34,1,0,Urban,0,Web,Womens E-Mail,0
6,6,2) $100 - $200,134.83,0,1,Surburban,0,Phone,Womens E-Mail,0
7,9,3) $200 - $350,280.2,1,0,Surburban,1,Phone,Womens E-Mail,0
8,9,1) $0 - $100,46.42,0,1,Urban,0,Phone,Womens E-Mail,0
9,9,5) $500 - $750,675.07,1,1,Rural,1,Phone,Mens E-Mail,0
10,10,1) $0 - $100,32.84,0,1,Urban,1,Web,Womens E-Mail,0
11,7,5) $500 - $750,548.91,0,1,Urban,1,Phone,Womens E-Mail,0
12,1,3) $200 - $350,211.45,0,1,Urban,1,Phone,Womens E-Mail,0
13,5,5) $500 - $750,642.9,0,1,Surburban,1,Multichannel,Womens E-Mail,0
14,2,2) $100 - $200,101.64,0,1,Urban,0,Web,Mens E-Mail,0
15,4,3) $200 - $350,241.42,0,1,Rural,1,Multichannel,No E-Mail,0
16,3,1) $0 - $100,58.13,1,0,Urban,1,Web,No E-Mail,0
17,5,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,0
18,9,2) $100 - $200,112.35,1,0,Rural,0,Web,Mens E-Mail,0
19,11,3) $200 - $350,219.04,1,1,Surburban,0,Phone,Mens E-Mail,0
20,5,"6) $750 - $1,000",828.42,1,0,Surburban,1,Multichannel,Mens E-Mail,0
21,9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0
22,11,2) $100 - $200,182.32,1,0,Surburban,0,Phone,Mens E-Mail,0
23,2,2) $100 - $200,118.4,1,0,Surburban,0,Web,Mens E-Mail,0
24,2,1) $0 - $100,29.99,0,1,Urban,1,Phone,No E-Mail,0
25,4,1) $0 - $100,78.24,1,0,Surburban,0,Web,No E-Mail,0
26,6,2) $100 - $200,139.87,0,1,Rural,1,Web,Mens E-Mail,0
27,12,2) $100 - $200,115.39,0,1,Surburban,0,Phone,Mens E-Mail,0
28,6,2) $100 - $200,162.98,0,1,Surburban,0,Web,Mens E-Mail,0
29,7,4) $350 - $500,435.73,0,1,Urban,1,Web,No E-Mail,0
30,2,3) $200 - $350,203.35,1,0,Rural,0,Web,No E-Mail,0
31,2,3) $200 - $350,237.53,0,1,Surburban,0,Phone,Womens E-Mail,0
32,9,3) $200 - $350,334.24,1,0,Urban,0,Web,Mens E-Mail,0
33,6,2) $100 - $200,128.01,0,1,Urban,0,Web,Mens E-Mail,0
34,9,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Mens E-Mail,0
35,3,1) $0 - $100,29.99,1,0,Rural,0,Web,Womens E-Mail,0
36,4,3) $200 - $350,218.72,0,1,Urban,0,Multichannel,Womens E-Mail,0
37,1,5) $500 - $750,514.52,0,1,Surburban,1,Web,Mens E-Mail,0
38,4,"6) $750 - $1,000",766.47,1,1,Urban,1,Multichannel,Mens E-Mail,0
39,10,1) $0 - $100,63.79,1,0,Rural,1,Phone,Womens E-Mail,0
40,7,5) $500 - $750,520.43,0,1,Surburban,1,Web,Mens E-Mail,0
41,11,3) $200 - $350,236.97,1,1,Urban,1,Phone,Mens E-Mail,0
42,3,1) $0 - $100,99.23,1,0,Rural,0,Web,Mens E-Mail,0
43,9,3) $200 - $350,204.18,0,1,Surburban,0,Web,Womens E-Mail,0
44,2,4) $350 - $500,492.02,1,0,Surburban,0,Phone,No E-Mail,0
45,1,1) $0 - $100,48.32,0,1,Urban,0,Web,No E-Mail,0
46,10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0
47,2,4) $350 - $500,391.33,1,0,Surburban,0,Web,No E-Mail,0
48,1,5) $500 - $750,729.7,1,1,Surburban,1,Web,Mens E-Mail,0
49,3,2) $100 - $200,134.59,1,0,Urban,1,Phone,Womens E-Mail,0
50,10,1) $0 - $100,61.09,0,1,Surburban,0,Web,Womens E-Mail,0
51,3,3) $200 - $350,203.3,0,1,Surburban,0,Web,No E-Mail,0
